PLAYER,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AB  de Villiers,95,465,111,312,319,360,395,513,687,216,480,442
Aakash  Chopra,42,11,0,0,0,0,0,0,0,0,0,0
Aaron  Finch,0,0,21,47,55,456,309,23,393,299,134,0
Abhimanyu  Mithun,0,0,0,27,0,0,0,0,0,0,0,0
Abhishek  Jhunjhunwala,0,0,183,0,0,0,0,0,0,0,0,0
Abhishek  Nayar,206,193,58,61,45,66,43,0,0,0,0,0
Abhishek  Raut,0,78,56,60,0,0,0,0,0,0,0,0
Abhishek  Sharma,0,0,0,0,0,0,0,0,0,0,63,0
Abu  Nechim,0,0,0,0,0,0,0,10,0,0,0,0
Adam  Gilchrist,436,495,289,383,172,294,0,0,0,0,0,0
Adam  Voges,0,0,181,0,0,0,0,0,0,0,0,0
Aditya  Dole,0,0,34,0,0,0,0,0,0,0,0,0
Aditya  Tare,0,0,50,0,0,123,126,14,0,18,0,0
Adrian  Barath,0,0,42,0,0,0,0,0,0,0,0,0
Aiden  Blizzard,0,0,0,120,0,0,0,0,0,0,0,0
Ajinkya  Rahane,4,144,0,120,560,488,339,540,480,382,370,393
Ajit  Agarkar,54,66,40,0,0,0,0,0,0,0,0,0
Akshath  Reddy,0,0,0,0,73,91,0,0,0,0,0,0
Akshdeep  Nath,0,0,0,0,0,0,0,0,20,0,0,61
Albie  Morkel,241,97,198,138,107,46,45,86,16,0,0,0
Alex  Hales,0,0,0,0,0,0,0,0,0,0,148,0
Alzarri  Joseph,0,0,0,0,0,0,0,0,0,0,0,15
Ambati  Rayudu,0,0,356,395,333,265,361,281,334,91,602,282
Amit  Mishra,37,26,39,68,0,89,0,0,0,49,0,21
Amit  Paunikar,0,0,0,49,0,0,0,0,0,0,0,0
Andre  Russell,0,0,0,0,47,11,2,326,188,0,316,510
Andrew  Flintoff,0,62,0,0,0,0,0,0,0,0,0,0
Andrew  McDonald,0,0,65,0,47,0,0,0,0,0,0,0
Andrew  Symonds,161,249,429,135,0,0,0,0,0,0,0,0
Andrew  Tye,0,0,0,0,0,0,0,0,0,53,32,0
Angelo  Mathews,0,16,233,0,127,172,0,144,0,32,0,0
Aniket  Choudhary,0,0,0,0,0,0,0,0,0,25,0,0
Anil  Kumble,0,16,0,0,0,0,0,0,0,0,0,0
Anirudh  Singh,0,0,63,0,0,0,0,0,0,0,0,0
Ankit  Sharma,0,0,0,0,0,0,34,0,0,25,0,0
Anureet  Singh,0,0,0,0,0,0,0,18,0,15,0,0
Anustup  Majumdar,0,0,0,0,87,0,0,0,0,0,0,0
Arjun  Yadav,49,0,0,0,0,0,0,0,0,0,0,0
Arun  Karthik,0,0,0,0,0,41,0,0,0,0,0,0
Asad  Pathan,0,0,0,33,0,0,0,0,0,0,0,0
Ashish  Nehra,0,0,23,0,0,0,0,0,0,0,0,0
Ashish  Reddy,0,0,0,0,35,125,0,73,47,0,0,0
Ashok  Menaria,0,0,0,180,220,0,0,0,0,0,0,0
Axar  Patel,0,0,0,0,0,0,62,206,111,227,80,110
Azhar  Bilakhia,0,67,0,0,0,0,0,0,0,0,0,0
Azhar  Mahmood,0,0,0,0,186,196,0,0,0,0,0,0
Balachandra  Akhil,46,17,0,0,0,0,0,0,0,0,0,0
Basil  Thampi,0,0,0,0,0,0,0,0,0,28,0,0
Ben  Cutting,0,0,0,0,0,0,8,0,65,51,96,18
Ben  Dunk,0,0,0,0,0,0,40,0,0,0,0,0
Ben  Rohrer,0,0,0,0,0,193,0,0,0,0,0,0
Ben  Stokes,0,0,0,0,0,0,0,0,0,316,196,123
Bharat  Chipli,0,0,0,207,37,0,0,0,0,0,0,0
Bhuvneshwar  Kumar,0,0,0,0,40,52,0,17,43,0,13,12
Biplap  Samantray,0,0,0,0,0,123,0,0,0,0,0,0
