PLAYER,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aaron  Finch,0,0,0,0,0,0,0,0,0,0,0,0
Aavishkar  Salvi,0,0,0,3,0,0,0,0,0,0,0,0
Abdur  Razzak,0,0,0,0,0,0,0,0,0,0,0,0
Abhimanyu  Mithun,0,0,1,5,0,0,0,0,0,0,0,0
Abhishek  Jhunjhunwala,0,0,0,0,1,0,0,0,0,0,0,0
Abhishek  Nayar,1,4,0,2,0,2,0,0,0,0,0,0
Abhishek  Raut,0,0,0,0,0,0,0,0,0,0,0,0
Abhishek  Sharma,0,0,0,0,0,0,0,0,0,0,0,1
Abu  Nechim,0,0,0,0,0,3,3,1,0,0,0,0
Adam  Gilchrist,0,0,0,0,0,1,0,0,0,0,0,0
Adam  Milne,0,0,0,0,0,0,0,0,1,3,0,0
Adam  Zampa,0,0,0,0,0,0,0,0,12,7,0,0
Aditya  Dole,0,0,5,0,0,0,0,0,0,0,0,0
Ajantha  Mendis,1,3,2,0,0,2,0,0,0,0,0,0
Ajinkya  Rahane,0,1,0,0,0,0,0,0,0,0,0,0
Ajit  Agarkar,8,6,4,8,3,0,0,0,0,0,0,0
Ajit  Chandila,0,0,0,0,5,6,0,0,0,0,0,0
Akila  Dananjaya,0,0,0,0,0,0,0,0,0,0,0,0
Akshath  Reddy,0,0,0,0,1,0,0,0,0,0,0,0
Albie  Morkel,17,13,11,15,13,7,4,3,2,0,0,0
Alfonso  Thomas,0,0,0,11,3,0,0,0,0,0,0,0
Ali  Murtaza,0,0,3,3,0,3,0,0,0,0,0,0
Alzarri  Joseph,0,0,0,0,0,0,0,0,0,0,0,6
Amit  Mishra,11,14,17,19,13,21,7,9,13,10,12,11
Amit  Singh,0,9,0,9,10,0,0,0,0,0,0,0
Amit  Uniyal,0,0,2,0,0,0,0,0,0,0,0,0
Anand  Rajan,0,0,0,3,3,2,0,0,0,0,0,0
Andre  Nel,1,0,0,0,0,0,0,0,0,0,0,0
Andre  Russell,0,0,0,0,1,0,1,14,15,0,13,11
Andrew  Flintoff,0,2,0,0,0,0,0,0,0,0,0,0
Andrew  McDonald,0,0,5,0,5,1,0,0,0,0,0,0
Andrew  Symonds,0,7,12,1,0,0,0,0,0,0,0,0
